company_name,ds,yhat,yhat_lower,yhat_upper
Tata Consultancy Services,2020-08-21,2409.1694153226363,2271.7701471903456,2563.1805153491
Tata Consultancy Services,2020-08-24,2426.7342307681415,2278.193443163648,2579.7275361358134
Tata Consultancy Services,2020-08-25,2436.0773529693506,2277.7511344158816,2577.9083426463953
Tata Consultancy Services,2020-08-26,2443.706171526326,2301.4571963178228,2592.3020797119216
Tata Consultancy Services,2020-08-27,2447.245842061164,2309.272318367261,2591.3354654066347
Tata Consultancy Services,2020-08-28,2451.748870631851,2293.511027667791,2596.1320377004777
Tata Consultancy Services,2020-08-31,2464.4023776708514,2316.694197498058,2607.1053081604873
Tata Consultancy Services,2020-09-01,2471.8783931691096,2331.63668389179,2626.1387644821316
Tata Consultancy Services,2020-09-02,2477.5596057117173,2325.98462720571,2623.389763400163
Tata Consultancy Services,2020-09-03,2479.095924411791,2332.089288543346,2625.793170807855
Tata Consultancy Services,2020-09-04,2481.566533329349,2337.438000553668,2637.3760707298666
Tata Consultancy Services,2020-09-07,2488.2302345673634,2345.797154609185,2620.973964547321
Tata Consultancy Services,2020-09-08,2493.839531036706,2345.800456801892,2637.8999711248844
Tata Consultancy Services,2020-09-09,2497.763549543628,2345.782319205919,2654.054464603528
Tata Consultancy Services,2020-09-10,2497.676017051452,2336.962716742988,2644.076222309922
Tata Consultancy Services,2020-09-11,2498.6770770554194,2347.072124979677,2646.201221477419
Tata Consultancy Services,2020-09-14,2502.01340047244,2350.4238548190306,2649.79658774541
Tata Consultancy Services,2020-09-15,2506.904838831601,2359.211707872969,2657.626382364545
Tata Consultancy Services,2020-09-16,2510.3105873877175,2372.34913426246,2658.1451730925496
Tata Consultancy Services,2020-09-17,2509.899594492252,2367.662664242323,2653.568592237259
Tata Consultancy Services,2020-09-18,2510.7625006434637,2367.8423312356144,2654.157549444348
Tata Consultancy Services,2020-09-21,2514.6351339657317,2378.430766961963,2668.769861717117
Tata Consultancy Services,2020-09-22,2519.9492211478573,2372.050230957171,2674.9913221102515
Tata Consultancy Services,2020-09-23,2523.8551564996374,2379.0306461476403,2671.9494119859055
Tata Consultancy Services,2020-09-24,2523.9918381756925,2370.7579044279437,2663.4339621398144
Tata Consultancy Services,2020-09-25,2525.418586005947,2380.081958842726,2670.0059681306125
Tata Consultancy Services,2020-09-28,2530.763888056237,2380.801454539234,2678.449041694361
Tata Consultancy Services,2020-09-29,2536.3953027615794,2377.272853827052,2678.146781314501
Tata Consultancy Services,2020-09-30,2540.4865282133633,2395.6658663660596,2687.874732404371
Tata Consultancy Services,2020-10-01,2540.653854889422,2396.996476284404,2691.7760717317237
Tata Consultancy Services,2020-10-05,2545.6977672338053,2389.484999332786,2673.8102173584807
Tata Consultancy Services,2020-10-06,2550.401353898857,2402.171407372742,2700.2051142504474
Tata Consultancy Services,2020-10-07,2553.371826793348,2406.884927852088,2698.640498428367
Tata Consultancy Services,2020-10-08,2552.2377144411057,2406.9261022186956,2695.99146260463
Tata Consultancy Services,2020-10-09,2552.0571745193133,2400.7132481294043,2695.9638529023864
Tata Consultancy Services,2020-10-12,2550.691665897143,2395.990648952021,2694.7679788494165
Tata Consultancy Services,2020-10-13,2553.546210527133,2405.625776166315,2698.987438934073
Tata Consultancy Services,2020-10-14,2554.657236407692,2407.943967407073,2708.684559908209
Tata Consultancy Services,2020-10-15,2551.692670982903,2398.0624204466267,2688.0841232233147
Tata Consultancy Services,2020-10-16,2549.7512732819728,2405.405766054457,2701.2666820794675
Tata Consultancy Services,2020-10-19,2543.9270513238907,2397.311334207822,2694.6442405218613
Tata Consultancy Services,2020-10-20,2545.6995371847006,2405.2244611522915,2683.8617910679322
Tata Consultancy Services,2020-10-21,2545.9895454559537,2390.733829606408,2700.364797231211
Tata Consultancy Services,2020-10-22,2542.4952583091936,2390.219026104098,2689.770545063744
Tata Consultancy Services,2020-10-23,2540.3413153425317,2389.452631440321,2692.2922262325637
Tata Consultancy Services,2020-10-26,2535.9642152499728,2392.9191819429834,2678.121411600985
Tata Consultancy Services,2020-10-27,2538.9459798002745,2386.8773388530058,2683.5565388020636
Tata Consultancy Services,2020-10-28,2540.809506469145,2397.0899020192674,2686.692417760007
Tata Consultancy Services,2020-10-29,2539.244110043746,2396.257077884247,2680.6430626184397
Tata Consultancy Services,2020-10-30,2539.3594180398727,2400.3053071237514,2680.966204709914
Tata Consultancy Services,2020-11-02,2543.5953106537218,2383.338805816816,2688.2340710690532
Tata Consultancy Services,2020-11-03,2549.9447285398624,2402.882829566697,2699.2339982922254
Tata Consultancy Services,2020-11-04,2555.3605031711395,2415.0502669989673,2716.375983712344
Tata Consultancy Services,2020-11-05,2557.488357535812,2409.0729246317937,2710.513558554831
Tata Consultancy Services,2020-11-06,2561.3917951042727,2401.571292577291,2701.146501986359
Tata Consultancy Services,2020-11-09,2577.079273096351,2433.555706311305,2724.050158295466
Tata Consultancy Services,2020-11-10,2587.113233417381,2445.156356142899,2736.173611839025
Tata Consultancy Services,2020-11-11,2596.0688175120595,2446.787978259925,2746.659932708351
Tata Consultancy Services,2020-11-12,2601.5479025479317,2467.2756724574438,2754.6130403988327
Tata Consultancy Services,2020-11-13,2608.5733582395765,2460.06699288121,2754.1977196459247
Tata Consultancy Services,2020-11-14,2669.9699992330998,2518.4472821290265,2820.338292096696
Tata Consultancy Services,2020-11-17,2643.8274034377628,2496.6286029074745,2790.8036892916384
Tata Consultancy Services,2020-11-18,2654.3063035789482,2506.010347153548,2798.671711081357
Tata Consultancy Services,2020-11-19,2660.9365569188803,2519.977939604572,2816.8158766766483
Tata Consultancy Services,2020-11-20,2668.7376964240193,2514.1438382426595,2814.583731360833
